Player,Pos,Year,Ridge,RF,SVM,NeuralNet
Robert Woods,WR,2021,-35.309263459475304,-7.706000000000017,-34.41105450733072,-23.97481994628906
Brian Leonard,RB,2010,-21.800023645001843,0.6180000000000092,-10.746479182838575,0.835636901855473
Jamal Lewis,RB,2003,121.80171530848514,98.26600000000008,119.27086095083264,147.18483886718752
Maurice Jones-Drew,RB,2013,82.01002969121816,86.318,90.40700433937084,103.65107650756838
Cliff Russell,WR,2004,-25.74947302714332,-22.892,-12.65621302560178,-17.726429367065432
Reggie Bush,RB,2014,-87.0878560117261,-101.63599999999994,-86.90754595797256,-60.90263366699219
Eddie Kennison,WR,2005,23.07261646776567,54.38199999999999,19.212896061678805,33.69429016113281
Torry Holt,WR,2009,-12.067221374953393,5.35199999999999,-8.061560660231606,-0.8925979614257784
Jed Weaver,TE,2004,-48.03311321216124,-49.544,-42.42431437140323,-28.818541717529296
Carlos Hyde,RB,2016,96.86799288186978,97.86,105.02453670193592,121.73236618041994
Kevin Curtis,WR,2005,73.19545874900318,83.196,82.22505726175736,91.2693916320801
Heath Miller,TE,2008,4.714153654797954,-14.437999999999988,7.9969636134258195,6.874205017089849
Vincent Jackson,WR,2012,74.0555229224743,97.232,70.21557228971716,82.0856689453125
Randy McMichael,TE,2007,-10.43498694021052,12.718000000000032,-5.81689879622698,11.085684204101568
Thomas Jones,RB,2004,107.0656707251996,105.68200000000004,114.42327315554292,121.6396484375
Auden Tate,WR,2020,-70.28882115242892,-68.89800000000001,-65.37721888407688,-53.15868377685547
Jonathan Stewart,RB,2012,-78.35737364638442,-46.73599999999996,-74.72545464221491,-63.981219482421864
Phillip Supernaw,TE,2017,-14.017686216916363,-3.801999999999998,-1.5108712222888894,-10.380977249145507
Bobo Wilson,WR,2018,-21.558565059909157,-26.078000000000007,-9.09635154702612,-13.551110076904298
Donte' Stallworth,WR,2012,-55.34078292844716,-55.717999999999975,-45.05844619169247,-40.36466522216797
Ahmad Bradshaw,RB,2012,34.08067442065948,1.3140000000000498,38.37481056056956,42.08155822753906
James White,RB,2021,-62.67421372560193,-28.022,-52.25057778768357,-35.8816535949707
Anquan Boldin,WR,2012,26.76969786750212,12.945999999999998,27.21033211944049,34.34553375244141
DeSean Jackson,WR,2020,-45.445110865809895,-88.16800000000002,-38.02066964506052,-23.03005523681641
Tiki Barber,RB,2004,135.89501207119775,95.29199999999994,135.75844532393364,157.50856933593752
Kevin Curtis,WR,2009,-74.77059605581718,-74.92200000000003,-67.21954615124638,-49.596154022216794
Bill Schroeder,WR,2004,-41.767501568128765,-50.402,-32.8185108598888,-21.1890510559082
Adam Thielen,WR,2019,-85.00909135898277,-71.51199999999997,-90.13195298887123,-71.88959655761718
Jordan Norwood,WR,2016,-19.18771656647374,-25.23,-8.365605517631266,-3.345135498046872
Julio Jones,WR,2014,71.74569772845078,101.51400000000004,71.7896441964705,100.49954833984376
Ben Watson,TE,2008,-40.10955528274712,-26.605999999999995,-32.721776362710685,-30.049333190917963
Muhsin Muhammad,WR,2006,34.89048144767865,34.54600000000002,40.41309896112276,55.690769958496105
Rex Burkhead,RB,2020,6.083394864721086,25.014,14.445223885770147,19.705300903320307
Erik Lorig,TE,2013,-18.377930654449774,-11.923999999999996,-6.607944445634846,-10.548363494873048
Troy Walters,WR,2004,-76.1377201235075,-89.19400000000002,-68.24715236147685,-64.15178680419922
Aaron Stecker,RB,2003,-17.665613683672472,-28.248,-5.881782519081323,-1.7199470520019524
Troy Niklas,TE,2015,-8.99888527536346,-4.532000000000007,3.2267144576834603,-2.5597469329833977
Jared Cook,TE,2018,68.69701650886495,77.90600000000002,71.60591199146745,79.27082977294924
Michael Cox,RB,2014,-19.518532858416723,-23.54,-6.733517187184911,-12.464260864257813
Andre Ellington,RB,2014,28.603026446529867,61.39200000000001,34.45116146489788,47.25853729248047
Eric Saubert,TE,2021,-6.612128680847125,5.318,5.717209266668068,-1.4358585357666023
Jordan Taylor,WR,2017,-28.92545762502815,-14.803999999999988,-17.292497687855743,-13.943760681152341
Knowshon Moreno,RB,2011,-102.59258162483536,-65.76600000000002,-101.37467008161128,-89.20579528808594
Josh Parry,RB,2005,-26.91066361420561,-16.523999999999994,-14.328476884431362,-20.122866058349608
Jerry Rice,WR,2001,89.86491934193269,81.73600000000003,94.3985130187156,95.42493286132813
Derrick Ward,RB,2009,-69.99255446682204,-29.10599999999998,-67.525518176119,-49.01557312011718
Derek Hagan,WR,2013,-9.813863679321017,-3.387999999999977,1.1064721432296525,6.773214721679693
Chris Cooley,TE,2009,-53.24064665281856,-55.425999999999945,-51.49509128537855,-35.26725463867187
Todd Gurley,RB,2016,28.41084056453224,-5.34000000000006,29.20467873109817,41.04938049316405
Will Dissly,TE,2019,-7.159054035649831,3.61,1.9547361730489283,13.71966400146485
Lamar Smith,RB,2002,3.9786762784226815,23.476000000000013,5.951103519991165,16.179357910156256
T.J. Duckett,RB,2007,18.310288391621956,-5.298000000000002,30.58826606638857,29.810789489746092
Mike Thomas,WR,2018,-32.8372050650758,-29.694000000000003,-20.548275584553664,-26.808225250244142
Jaylen Samuels,TE,2021,-25.18374618569525,-24.784,-12.049402860233986,-16.08077163696289
David Givens,WR,2003,68.37569443927369,71.538,81.43102700863405,77.76320457458496
Javon Walker,WR,2004,138.03532651895748,125.782,142.86539584865844,143.167529296875
Juwan Johnson,WR,2021,20.17506534017931,26.282,32.58813115980117,26.29262580871582
Randy Moss,WR,2009,99.65079724820356,117.18000000000002,99.87254026119714,108.83025207519532
Kendall Hinton,WR,2021,10.41561738185679,-0.9943333333333156,23.33638310658273,17.246045112609863
Andre Hall,RB,2008,-35.9447192654466,-71.672,-24.523938355367967,-21.338418579101564
Greg Lewis,WR,2004,-4.734481832007781,-1.587999999999994,7.449748374598847,4.157781982421874
Frank Gore,RB,2006,198.11076677282597,205.898,206.6688409105741,212.7498321533203
Jordan Todman,RB,2015,-60.40839778026153,-47.044,-49.22622092722193,-34.73167114257812
Chase Edmonds,RB,2021,5.318077033811477,25.36600000000001,12.712735140525467,20.67574005126953
Donnie Avery,WR,2009,5.88178822038725,-9.42400000000002,11.4512146903419,11.842764282226568
Tony Stewart,TE,2004,-24.85104133047287,-20.040000000000003,-14.540503470008584,-11.711016845703124
Larry Fitzgerald,WR,2018,-12.37704431300827,-14.162000000000065,-12.815125796893112,0.07855834960938068
Will Fuller,WR,2017,5.994358285571323,5.501999999999995,11.156640983919845,11.511920166015628
Derrick Ward,RB,2010,-12.323523792491116,-22.338000000000022,-2.611130150063772,7.715684509277338
Adam Humphries,WR,2018,51.91632180230795,46.13199999999998,59.19512625439259,73.55531616210936
Corey Davis,TE,2020,72.85151623555426,107.38,77.14447263691144,85.42778625488282
Anthony Dixon,RB,2013,-8.064200007588553,-4.319999999999993,4.2960445795588456,4.23988494873047
Matt Spaeth,TE,2008,-5.480022746611702,2.336000000000002,6.540042417232861,2.5824333190917983
David Kircus,WR,2005,-11.618035726881429,-6.523999999999994,1.6361794297509782,-5.326697158813477
Jacoby Jones,WR,2011,-9.822792127379271,1.4700000000000273,-2.632509877469616,1.8055328369140682
Daniel Fells,TE,2012,-33.97003660549684,-31.481999999999992,-26.35901575680399,-22.365650177001953
Austin Carr,WR,2019,-33.53590563125332,-17.074000000000005,-21.242576136885692,-23.757405853271486
James White,RB,2019,-8.518664825031635,18.10599999999997,-3.5819805282242783,14.611157226562511
Maxx Williams,TE,2018,-4.2167904825316,-9.533999999999992,7.113440545205684,5.215079879760744
Kelley Washington,WR,2006,-21.799398842410746,2.3739999999999952,-9.447442943337876,-5.658740997314453
Tyler Eifert,TE,2017,-92.9150729391919,-71.46600000000001,-84.86864206661804,-76.3615478515625
C.J. Spiller,RB,2013,-50.75865018887066,-27.66999999999996,-52.20017442293266,-21.24364013671874
Dan Herron,RB,2013,-11.00624812009287,-3.057199999999991,2.005408344711732,-4.197047233581543
Aaron Moorehead,WR,2004,-38.84360576329454,-35.87399999999999,-26.824125582542127,-27.619408416748048
Orleans Darkwa,RB,2016,-12.984045960520096,-23.908,-0.967287564185451,-0.18728370666503835
Mike Davis,RB,2021,-20.51742767440433,-16.491999999999962,-16.27923113824167,-8.964932250976545
Rashad Jennings,RB,2014,-1.0784887679427584,33.21599999999998,3.0840777097981515,10.953506469726562
James White,RB,2020,-45.20776147460293,-33.431999999999974,-38.33208491543149,-25.281332397460943
Jalen Parmele,RB,2009,-20.541001169812407,-10.848,-7.774055145443245,-12.833751487731934
Dustin Lyman,TE,2003,-26.716688750020808,-15.254000000000003,-14.79591142189298,-13.548126220703125
Alex Erickson,WR,2017,-10.730455880314686,-7.955999999999996,2.029185491946329,-3.7821506500244126
Cedric Benson,RB,2008,14.221015738311095,16.07199999999999,19.5574660622692,31.903804016113284
Anthony Gonzalez,WR,2008,28.1934714007474,40.36799999999997,31.988251435274407,34.76682891845704
Ameer Abdullah,RB,2020,-17.18194858116916,-24.059999999999988,-4.595293309793405,-0.8357982635498047
Adam Thielen,WR,2015,-6.261705623489885,-12.848000000000004,5.6888461892240905,0.3160026550292976
Antonio Chatman,WR,2007,0.0502763816362445,-20.819999999999997,12.950872961528766,10.317167663574217
Patrick Johnson,WR,2004,-36.48951987469848,-40.60799999999999,-24.347497066304054,-24.556076431274413
Tony Fisher,RB,2005,4.270623752056039,9.634,14.321412882010918,28.02257537841797
Frank Gore,RB,2016,56.04415930893094,66.25799999999998,58.206938372698346,66.99811859130858
A.J. Jenkins,WR,2014,-22.655270615487588,-28.69400000000001,-9.91537489724194,-16.865236663818358
Ray Rice,RB,2009,191.86505334885703,185.83600000000007,199.4126375212865,205.90340576171877
Boston Scott,RB,2020,-3.5261074398659105,-0.5280000000000342,5.820494623831948,9.579454040527338
Quentin McCord,WR,2002,5.934730397908538,2.661999999999992,18.407147392427937,13.55925254821777
Darrell Jackson,WR,2001,86.16259621779452,65.08200000000002,91.64203801654212,89.38506317138675
Ted Ginn Jr.,WR,2009,-40.37711186876467,-39.67399999999999,-38.41502587246171,-33.03779296875
Michael Bush,RB,2013,-26.771947976717627,-26.54400000000004,-17.68132335977694,-5.13165283203125
Dexter McCluster,WR,2012,-28.262422686447977,-7.96399999999997,-20.04036028575733,-15.154896545410153
Julius Jones,RB,2005,38.47201471309573,-2.335999999999956,44.18491384468928,47.1202331542969
Jacob Hollister,TE,2021,-33.00079477906904,-27.08599999999999,-21.56926191727507,-15.698295593261719
Travis Henry,RB,2007,-37.95337317699151,-75.65400000000002,-36.20050900327351,-18.613058471679693
Ashley Lelie,WR,2003,13.889114389213262,14.476,20.943055538958205,29.367593383789057
Glenn Martinez,WR,2006,-4.990306950216933,-21.51600000000001,8.512946946023817,1.4672050476074219
Branden Oliver,RB,2015,-81.39825113106042,-63.25599999999997,-74.90686825367946,-70.01800537109375
Benny Snell Jr.,RB,2020,7.426700975324273,-42.18599999999998,16.928957536018324,31.083322906494146
Miles Austin,WR,2012,45.43833788991644,8.54600000000002,49.54372003312669,53.12315826416017
Gijon Robinson,TE,2009,-21.17589851242307,-24.03400000000001,-12.132627996851202,-13.995037841796876
Branden Oliver,RB,2016,-37.66954213149449,-40.17599999999998,-26.782666289605707,-18.940278625488283
Greg Camarillo,WR,2009,-27.464619565869118,-68.57400000000005,-23.340323350653435,-15.711994934082028
Brandon Tate,WR,2015,-32.82978808869253,-33.864,-21.32746290115388,-22.797055816650392
Hunter Goodwin,TE,2001,-11.82001074141731,-14.486000000000004,-1.8810960993980808,-9.62344150543213
Dontrelle Inman,WR,2015,28.33063983323437,9.686000000000009,39.15974970698548,47.332788085937494
Anthony Sherman,RB,2020,-16.501014938134364,-14.952000000000004,-3.411050591851475,-11.28074951171875
Keenan Allen,WR,2014,-8.140601860494769,2.462000000000017,-11.141405247387866,-4.045672607421864
Curtis Conway,WR,2004,-9.160122552254409,-1.2939999999999685,-3.6170124669101966,2.4039428710937614
David Johnson,TE,2017,-17.932007410329078,-18.079999999999995,-6.104601749333625,-13.65911865234375
Michael Floyd,WR,2013,80.04949624115582,73.746,89.04631759397972,96.82855377197268
Aaron Hernandez,TE,2011,74.8114431988959,71.48200000000001,80.15173881498497,79.66682434082031
Tyrone Swoopes,TE,2019,-42.09729193936803,-55.05199999999999,-31.12660825523948,-27.49297332763672
Virgil Green,TE,2018,3.88236374180596,11.6,12.299297866697344,7.834127426147461
Mike Tolbert,RB,2014,-60.60437360516576,-33.873999999999995,-54.006298457293816,-49.25889434814453
Chris Johnson,RB,2013,66.79623337289544,71.65000000000006,67.11723999988874,86.12736816406249
Dwayne Jarrett,WR,2008,-19.59843351074729,-4.134000000000004,-6.988616990892034,-8.25534019470215
