Player,Pos,Year,Y,Ridge,RF,SVM,NeuralNet
Autry Denson,RB,2002,0.2,20.3872192881784,9.751233333333332,7.445534936692027,13.698556
Nate Washington,WR,2011,187.8,95.80243215623298,110.18599999999998,91.48229717407555,100.17983
Russell Shepard,WR,2017,34.6,62.59918615359098,57.73600000000001,54.180719263919045,38.48561
Quinton Patton,WR,2015,60.900000000000006,35.62118769562704,26.806000000000008,22.71439369369805,26.482412
Aaron Moorehead,WR,2005,11.0,21.760000623495863,106.878,8.528735606078413,15.635293
Andre Holmes,WR,2015,51.1,96.4006223813994,88.238,90.88142870985568,97.48504
Kevin Jones,RB,2008,12.4,110.14132091518172,100.624,103.95456763017454,103.57674
Visanthe Shiancoe,TE,2005,13.1,21.010728068358475,11.730000000000002,9.278530223153156,15.917867
Jonathan Dwyer,RB,2011,13.4,21.964525927896855,15.769999999999998,9.190190590524878,14.141723
Troy Brown,WR,2002,148.9,164.4639651755765,174.98599999999996,166.81542196380923,149.75337
Marcus Pollard,TE,2001,145.4,64.50932945548303,78.03600000000002,59.10397961054852,61.17962
Jed Weaver,TE,2003,65.2,31.901223800766715,21.724,19.952978980379143,23.795856
Jason Witten,TE,2012,176.9,126.3892754999156,119.53399999999998,125.35288021288432,119.30773
LeSean McCoy,RB,2012,170.3,208.01947322725343,275.20399999999995,208.86173213209955,196.9811
Steve Breaston,WR,2009,117.1,132.89553645644662,135.016,132.2673001511533,121.416534
Duke Johnson,RB,2019,132.0,92.64843680927969,68.44200000000001,84.41794302068428,73.26174
Keyshawn Johnson,WR,2005,149.7,131.44427801725453,153.416,131.81400975313994,127.30012
Bernard Berrian,WR,2008,163.0,126.61399541102097,100.89400000000002,125.05326678105084,118.55521
Preston Parker,WR,2013,67.80000000000001,21.033194413899416,64.11200000000001,7.972900899964245,14.124497
Chad Johnson,WR,2002,181.1,66.35878330951417,48.83800000000001,55.8475653014995,38.24158
Nick Boyle,TE,2019,59.6,37.17343446147495,37.588000000000015,27.7741118967948,27.083803
Josh Malone,WR,2018,1.7000000000000002,27.264619186218567,17.166,15.261820682463728,21.584906
Clay Harbor,TE,2012,41.1,38.46355363746221,48.98800000000002,27.24968895063398,27.463602
De'Anthony Thomas,RB,2016,9.9,50.89081888788687,57.256,38.487803870937,34.54895
Albert Wilson,WR,2019,67.1,103.7305921693246,86.59200000000001,97.50098910941824,86.05734
Devin Duvernay,WR,2021,58.7,47.73855802736222,51.98600000000001,36.79740975516212,33.594215
Tyler Eifert,TE,2019,83.1,79.10075531130872,86.374,70.52523176608523,57.105793
Marcus Easley,WR,2014,12.3,21.930903932644632,26.70599999999999,8.555464776024252,16.070322
Bobby Engram,WR,2005,125.3,82.51434115958646,69.29400000000001,76.1567450067452,69.91806
Antony Auclair,TE,2020,13.2,18.841795429741,6.831999999999999,6.734187810728642,15.304956
Clive Walford,TE,2018,8.1,31.513362960293264,20.972,18.407783890697974,23.651735
Ezekiel Elliott,RB,2021,222.4,158.3653787491902,191.50599999999991,156.900446357273,147.84778
Ricardo Lockette,WR,2014,37.2,33.53901184198273,21.844,21.43184904156856,25.812035
